iteration,total_delay,total_travel_time,max_queue,convergence_measure
1,147093568.0,2698281472.0,65073.0546875,inf
2,147376960.0,2698775552.0,65091.97265625,2.3182387351989746
3,147376960.0,2698775552.0,65091.97265625,0.9571285247802734
4,147376960.0,2698775552.0,65091.97265625,0.5205279588699341
5,147376960.0,2698775552.0,65091.97265625,0.3151557147502899
6,147376960.0,2698775552.0,65091.97265625,0.20155295729637146
7,147376960.0,2698775552.0,65091.97265625,0.13304255902767181
8,147376960.0,2698775552.0,65091.97265625,0.08955539762973785
9,147376960.0,2698775552.0,65091.97265625,0.06104860454797745
10,147376960.0,2698775552.0,65091.97265625,0.04196542501449585
11,147376960.0,2698775552.0,65091.97265625,0.029010582715272903
12,147376960.0,2698775552.0,65091.97265625,0.020132172852754593
13,147376960.0,2698775552.0,65091.97265625,0.014007896184921265
14,147376960.0,2698775552.0,65091.97265625,0.009764470160007477
15,147376960.0,2698775552.0,65091.97265625,0.006815133150666952
