iteration,total_delay,total_travel_time,max_queue,convergence_measure
1,149580536.64226687,2790064204.280985,67444.94579585707,inf
2,149856555.3521242,2790551472.3918376,67455.28899755886,2.3201754971158195
3,149856555.3521242,2790551472.3918376,67455.28899755886,0.9575989852220496
4,149856555.3521242,2790551472.3918376,67455.28899755886,0.520726676520478
5,149856555.3521242,2790551472.3918376,67455.28899755886,0.3152597727082817
6,149856555.3521242,2790551472.3918376,67455.28899755886,0.2016137379898134
7,149856555.3521242,2790551472.3918376,67455.28899755886,0.1330804043393939
8,149856555.3521242,2790551472.3918376,67455.28899755886,0.08957989998836449
9,149856555.3521242,2790551472.3918376,67455.28899755886,0.06106488097776629
10,149856555.3521242,2790551472.3918376,67455.28899755886,0.041976433933426247
11,149856555.3521242,2790551472.3918376,67455.28899755886,0.029018082464076177
12,149856555.3521242,2790551472.3918376,67455.28899755886,0.020137354159952957
13,149856555.3521242,2790551472.3918376,67455.28899755886,0.014011501851658796
14,149856555.3521242,2790551472.3918376,67455.28899755886,0.009766996359781063
15,149856555.3521242,2790551472.3918376,67455.28899755886,0.006816923264842497
